Value,Type,Category
2573000.0,True MC Data,Data
2560200.0,True MC Data,Data
2578600.0,True MC Data,Data
2460400.0,True MC Data,Data
2345100.0,True MC Data,Data
2552300.0,True MC Data,Data
2511600.0,True MC Data,Data
2625600.0,True MC Data,Data
2355000.0,True MC Data,Data
2481100.0,True MC Data,Data
2655600.0,True MC Data,Data
2501200.0,True MC Data,Data
2382800.0,True MC Data,Data
2489200.0,True MC Data,Data
2535200.0,True MC Data,Data
2612900.0,True MC Data,Data
2444200.0,True MC Data,Data
2346800.0,True MC Data,Data
2531000.0,True MC Data,Data
2354600.0,True MC Data,Data
2482900.0,True MC Data,Data
2538100.0,True MC Data,Data
2636200.0,True MC Data,Data
2559400.0,True MC Data,Data
2473700.0,True MC Data,Data
2447400.0,True MC Data,Data
2585100.0,True MC Data,Data
2567600.0,True MC Data,Data
2558500.0,True MC Data,Data
2511600.0,True MC Data,Data
2583900.0,True MC Data,Data
2486300.0,True MC Data,Data
2391000.0,True MC Data,Data
2372700.0,True MC Data,Data
2441000.0,True MC Data,Data
2462900.0,True MC Data,Data
2545500.0,True MC Data,Data
2523800.0,True MC Data,Data
2489900.0,True MC Data,Data
2570700.0,True MC Data,Data
2548200.0,True MC Data,Data
2501600.0,True MC Data,Data
2461500.0,True MC Data,Data
2247000.0,True MC Data,Data
2482400.0,True MC Data,Data
2522000.0,True MC Data,Data
2563300.0,True MC Data,Data
2521700.0,True MC Data,Data
2380000.0,True MC Data,Data
2579800.0,True MC Data,Data
2476600.0,True MC Data,Data
2405200.0,True MC Data,Data
2576200.0,True MC Data,Data
2607100.0,True MC Data,Data
2555400.0,True MC Data,Data
2663100.0,True MC Data,Data
2487300.0,True MC Data,Data
2411500.0,True MC Data,Data
2533600.0,True MC Data,Data
2597600.0,True MC Data,Data
2563300.0,True MC Data,Data
2565200.0,True MC Data,Data
2348000.0,True MC Data,Data
2578400.0,True MC Data,Data
2429900.0,True MC Data,Data
2504100.0,True MC Data,Data
2405000.0,True MC Data,Data
2491500.0,True MC Data,Data
2409300.0,True MC Data,Data
2342900.0,True MC Data,Data
2537200.0,True MC Data,Data
2474100.0,True MC Data,Data
2538800.0,True MC Data,Data
2518700.0,True MC Data,Data
2501100.0,True MC Data,Data
2638600.0,True MC Data,Data
2527100.0,True MC Data,Data
2578300.0,True MC Data,Data
2658800.0,True MC Data,Data
2562000.0,True MC Data,Data
2536300.0,True MC Data,Data
2412900.0,True MC Data,Data
2497300.0,True MC Data,Data
2369200.0,True MC Data,Data
2521400.0,True MC Data,Data
2440900.0,True MC Data,Data
2477500.0,True MC Data,Data
2566700.0,True MC Data,Data
2485600.0,True MC Data,Data
2349900.0,True MC Data,Data
2462300.0,True MC Data,Data
2527400.0,True MC Data,Data
2484600.0,True MC Data,Data
2737900.0,True MC Data,Data
2570800.0,True MC Data,Data
2508000.0,True MC Data,Data
2558400.0,True MC Data,Data
2569400.0,True MC Data,Data
2438800.0,True MC Data,Data
2418100.0,True MC Data,Data
2568400.0,True MC Data,Data
2500500.0,True MC Data,Data
2506300.0,True MC Data,Data
2405600.0,True MC Data,Data
